AS: 2386, node_degree: 9, IP_prefix: 216.222.219.0/24
AS: 2484, node_degree: 476, IP_prefix: 194.0.9.0/24
AS: 2486, node_degree: 20, IP_prefix: 194.0.9.0/24
AS: 2490, node_degree: 1, IP_prefix: None/None
AS: 2495, node_degree: 11, IP_prefix: 198.248.0.0/16
AS: 2497, node_degree: 297, IP_prefix: 220.210.128.0/18
AS: 2500, node_degree: 18, IP_prefix: 203.178.128.0/17
AS: 2505, node_degree: 1, IP_prefix: 202.13.192.0/19
AS: 2510, node_degree: 8, IP_prefix: 222.158.0.0/15
AS: 2514, node_degree: 21, IP_prefix: 219.122.112.0/20
AS: 2515, node_degree: 7, IP_prefix: 211.120.248.0/24
AS: 2516, node_degree: 314, IP_prefix: 222.227.0.0/16
AS: 2518, node_degree: 53, IP_prefix: 221.170.0.0/15
AS: 2519, node_degree: 48, IP_prefix: 222.230.0.0/16
AS: 2526, node_degree: 3, IP_prefix: 202.246.248.0/21
AS: 2527, node_degree: 7, IP_prefix: 223.132.0.0/14
AS: 2529, node_degree: 33, IP_prefix: 217.135.224.0/22
AS: 2535, node_degree: 43, IP_prefix: 149.195.59.0/24
AS: 2544, node_degree: 6, IP_prefix: 204.152.60.0/24
AS: 2549, node_degree: 1, IP_prefix: 207.249.224.0/19
AS: 2554, node_degree: 1, IP_prefix: 211.133.139.0/24
AS: 2559, node_degree: 1, IP_prefix: 198.241.240.0/24
AS: 2567, node_degree: 1, IP_prefix: 199.6.239.0/24
AS: 2572, node_degree: 6, IP_prefix: 209.106.253.0/24
AS: 2576, node_degree: 1, IP_prefix: 204.238.19.0/24
AS: 2586, node_degree: 18, IP_prefix: 194.204.0.0/18
AS: 2588, node_degree: 41, IP_prefix: 185.62.196.0/22
AS: 2590, node_degree: 2, IP_prefix: 185.125.124.0/22
AS: 2593, node_degree: 5, IP_prefix: 95.140.128.0/21
AS: 2594, node_degree: 5, IP_prefix: 158.102.161.0/24
AS: 2595, node_degree: 12, IP_prefix: 194.116.0.0/18
AS: 2597, node_degree: 9, IP_prefix: 192.12.194.0/24
AS: 2602, node_degree: 18, IP_prefix: 193.168.64.0/18
AS: 2603, node_degree: 712, IP_prefix: 194.68.13.0/24
AS: 2606, node_degree: 1, IP_prefix: 185.128.15.0/24
AS: 2607, node_degree: 39, IP_prefix: 194.160.0.0/16
AS: 2609, node_degree: 1, IP_prefix: 213.150.160.0/19
AS: 2611, node_degree: 506, IP_prefix: 194.8.52.0/24
AS: 2613, node_degree: 10, IP_prefix: 193.135.150.0/24
AS: 2614, node_degree: 25, IP_prefix: 217.156.11.0/24
AS: 2635, node_degree: 542, IP_prefix: 200.9.113.0/24
AS: 2640, node_degree: 1, IP_prefix: 147.155.0.0/16
AS: 2647, node_degree: 30, IP_prefix: 202.167.43.0/24
AS: 2665, node_degree: 4, IP_prefix: 205.193.217.0/24
AS: 2675, node_degree: 1, IP_prefix: 205.194.0.0/17
AS: 2681, node_degree: 1, IP_prefix: None/None
AS: 2682, node_degree: 2, IP_prefix: None/None
AS: 2683, node_degree: 15, IP_prefix: 194.67.121.0/24
AS: 2685, node_degree: 13, IP_prefix: 209.169.251.0/24
AS: 2686, node_degree: 130, IP_prefix: 213.62.0.0/16
AS: 2687, node_degree: 82, IP_prefix: 218.100.6.0/23
AS: 2688, node_degree: 31, IP_prefix: 200.0.216.0/21
AS: 2697, node_degree: 1, IP_prefix: 202.141.157.0/24
AS: 2698, node_degree: 1, IP_prefix: 207.28.234.0/24
AS: 2706, node_degree: 12, IP_prefix: 220.232.255.0/24
AS: 2707, node_degree: 3, IP_prefix: 208.96.242.0/24
AS: 2711, node_degree: 61, IP_prefix: 207.144.238.0/24
AS: 2715, node_degree: 4, IP_prefix: 200.156.200.0/24
AS: 2716, node_degree: 9, IP_prefix: 200.238.0.0/18
AS: 2721, node_degree: 4, IP_prefix: 205.186.226.0/24
AS: 2722, node_degree: 4, IP_prefix: 205.186.60.0/24
AS: 2730, node_degree: 2, IP_prefix: 208.144.158.0/23
AS: 2734, node_degree: 27, IP_prefix: 199.0.58.0/24
AS: 2764, node_degree: 228, IP_prefix: 210.89.128.0/19
AS: 2818, node_degree: 66, IP_prefix: 212.58.224.0/19
AS: 2819, node_degree: 1, IP_prefix: None/None
AS: 2821, node_degree: 1, IP_prefix: 185.101.128.0/24
AS: 2828, node_degree: 1050, IP_prefix: 216.250.64.0/19
AS: 2830, node_degree: 4, IP_prefix: 207.11.212.0/24
AS: 2839, node_degree: 2, IP_prefix: 192.71.100.0/24
AS: 2847, node_degree: 5, IP_prefix: 193.219.160.0/19
AS: 2848, node_degree: 1, IP_prefix: 188.44.32.0/19
AS: 2852, node_degree: 119, IP_prefix: 195.178.64.0/19
AS: 2854, node_degree: 237, IP_prefix: 212.176.224.0/19
AS: 2856, node_degree: 212, IP_prefix: 217.32.0.0/12
AS: 2857, node_degree: 32, IP_prefix: 217.198.240.0/20
AS: 2860, node_degree: 32, IP_prefix: 217.70.64.0/20
AS: 2861, node_degree: 1, IP_prefix: 193.186.3.0/24
AS: 2874, node_degree: 14, IP_prefix: None/None
